index,title_year,top200,year,first_year,decade,Category,Era,APP_Era,APP_Era_exp,Existential Threat,Existential Threat_exp,APP_World After,APP_World After_exp,Dystopian/Post-Apoc,Dystopian/Post-Apoc_exp,Inequality,Inequality_exp,Suffering,Suffering_exp,A militarized society,A militarized society_exp,unknown,unknown_exp,society,society_exp,human,human_exp,self,self_exp,Social Issues,Social Issues_exp
2172,Pinky and the Brain (1995–1998),1,1995–1998,1995,1990,animated/kids/comedy,present,present,"The show is set in the present era during the time it was made, which is the mid-1990s.",0,There is no existential threat to humanity in the storyline; it primarily focuses on the comedic attempts of Brain to take over the world.,0,The characters do not make significant changes to the world; Brain's plans to take over the world are always thwarted.,0,"The story is not set in a dystopian or post-apocalyptic world; it is set in a contemporary, relatively normal world.",0,Inequality is not a notable theme in the setting of the story.,0,Human suffering is not a notable theme in the setting of the story.,0,The setting at the beginning of the story is not characterized by a militarized society.,0,The story does not involve a human vs. the unknown conflict but rather focuses on the comedic attempts of Brain (a mouse) to take over the world.,0,The story does not involve a human vs. society conflict.,0,The story does not involve a human vs. the unknown conflict but rather focuses on the comedic attempts of Brain (a mouse) to take over the world.,0,The story does not involve a human vs. self conflict.,0,The story is a comedic animation and not a commentary on social issues of today.
2173,The Magic School Bus (1994–1997),1,1994–1997,1994,1990,animated/kids/comedy,present,present,"Though the show has fantastical elements, it is set in the present time period relative to when it was created.",0,The show does not involve existential threats to humanity; it focuses mainly on educational adventures.,0.5,"Characters often learn valuable lessons which could improve their knowledge and capabilities, but the show does not imply significant changes to the world itself.",0,"The series is not set in a dystopian or post-apocalyptic world; it takes place in a normal, present-day educational setting.",0,The setting at the beginning of the story is a typical school environment without notable inequality.,0,The show does not depict significant human suffering; it is an educational program aimed at children.,0,The society in the show is not militarized. It is centered around a school and educational activities.,1,"The show often involves human vs. the unknown conflicts, with the children encountering and learning about new scientific phenomena.",0,The show does not involve conflicts between individuals and society.,1,"The show often involves human vs. the unknown conflicts, with the children encountering and learning about new scientific phenomena.",0,The show does not focus on internal personal conflicts.,0,The Magic School Bus is not primarily a commentary on social issues. It is focused on educational content about science.
2177,Star Trek: The Animated Series (1973–1975),1,1973–1975,1973,1970,Star Wars or Star Trek universe,future,future,"The show is set in the future, in the 23rd century.",0.5,"There are instances where existential threats to humanity are present, but this is not a constant theme.",1,The crew often improves the situation or resolves the threat by the end of each episode.,0,The show is set in a utopian future rather than a dystopian or post-apocalyptic world.,0,The setting does not have a notable amount of inequality; the Federation is portrayed as largely equitable.,0,The setting does not inherently have a notable amount of human suffering. The Federation works to alleviate it.,0.5,"While Starfleet is a military-like organization, the society as a whole is not militarized.",1,Many stories in the series involve conflict with unknown entities or forces.,0,"Conflicts tend not to be with society, but with external threats or situations.",1,Many stories in the series involve conflict with unknown entities or forces.,0,The series rarely involves internal conflicts within a single character being the main plot.,1,"The series often comments on social issues such as diversity, ethics, and the consequences of technological advancement."
2178,Battle of the Planets (1978–1980),1,1978–1980,1978,1970,animated/kids/comedy,future,future,The show is set in a future where advanced space travel and technologies exist.,1,The alien species Spectra poses an existential threat to humanity.,1,The protagonists' efforts ultimately make the world safer by thwarting Spectra's plots.,0,"The setting is not a dystopia or post-apocalyptic world, but rather a future Earth facing external threats.",0,The beginning of the story does not prominently feature inequality as a key theme.,0.5,There is some level of human suffering due to the threats posed by Spectra.,1,"The setting includes a militarized response to the threat from Spectra, such as the G-Force team.",1,"The story involves a human vs. unknown conflict, with humanity facing the alien Spectra.",0,The main conflict is not between individuals and society but rather against Spectra.,1,"The story involves a human vs. unknown conflict, with humanity facing the alien Spectra.",0,The story does not focus on internal conflicts within individuals.,0.5,It has themes that can be reflective of Cold War tensions but is primarily focused on action and science fiction.
2180,Teenage Mutant Ninja Turtles (1987–1996),1,1987–1996,1987,1980,animated/kids/comedy,present,present,The show is set in the present-day era.,1,"There are multiple instances of existential threats to humanity, such as alien invasions and massive mutagens that could transform the world.",1,"The protagonists aim to keep the world safe from threats, thereby making it better than it would be without their intervention.",0,The story is not set in a dystopian or post-apocalyptic world.,0,The setting does not have a notable amount of inequality at the beginning of the story.,0,There isn't a notable amount of human suffering at the beginning of the story; it is centered around typical urban life.,0,The setting at the beginning does not depict a militarized society.,1,There are conflicts with unknown threats like aliens and mutated creatures.,0.5,"There are elements of human vs. society conflict, particularly with the Foot Clan and corrupt elements, but it is not a central theme.",1,There are conflicts with unknown threats like aliens and mutated creatures.,0,The story does not primarily focus on a human vs. self conflict.,0.5,"While not explicitly social commentary, the show does touch on themes like teamwork, loyalty, and justice, which are relevant to societal values."
2181,The Transformers (1984–1987),1,1984–1987,1984,1980,animated/kids/comedy,present,present,The series is set in the present day of the 1980s.,1,The Decepticons present an existential threat to both humanity and the Transformers.,1,"The Autobots work to protect Earth from the Decepticons, improving the state of the world.",0,The world in 'The Transformers' is not typically described as dystopian or post-apocalyptic.,0,There is no notable amount of inequality depicted at the beginning of the story.,0,Human suffering is not a major theme at the beginning of the story.,0,Earth's society is not notably militarized at the beginning of the story.,1,"While humans are involved, the primary conflict is between Transformers (Autobots vs. Decepticons), which is an unknown entity to humans.",0,The conflict is not primarily human vs. society but rather Autobots vs. Decepticons.,1,"While humans are involved, the primary conflict is between Transformers (Autobots vs. Decepticons), which is an unknown entity to humans.",0,The story does not focus on internal conflicts within human characters.,0.5,"While there are elements of good vs. evil and the use of technology, the show primarily focuses on the battle between Autobots and Decepticons rather than a direct social commentary."
2182,Inspector Gadget (1983–2023),1,1983–2023,1983,1980,animated/kids/comedy,present,present,"The story is set in the present era, relative to when it was produced.",0.5,"While there are significant threats, they are not typically described as existential threats to humanity as a whole.",1,Characters often make the world better by thwarting M.A.D.'s plans.,0,The story is not set in a dystopian or post-apocalyptic world.,0.5,"There are elements of inequality, particularly regarding the powerful villainous organization M.A.D. versus the general populace.",0.5,There is some human suffering depicted due to the various threats posed by M.A.D.,0,The society depicted is not particularly militarized.,1,The story involves conflicts with unknown threats orchestrated by M.A.D. and Dr. Claw.,0.5,"There are occasional conflicts that reflect issues with society, but it is not the main focus.",1,The story involves conflicts with unknown threats orchestrated by M.A.D. and Dr. Claw.,0,The story does not heavily focus on human vs. self conflict.,0,The series is not primarily intended as a commentary on current social issues.
2183,He-Man and the Masters of the Universe (1983–1985),1,1983–1985,1983,1980,animated/kids/comedy,multiple/other,multiple/other,"The show is set in the fictional world of Eternia, which combines elements of medieval past with futuristic technology.",0.5,"While there are significant threats to the world of Eternia, they are not explicitly portrayed as threats to humanity as a whole.",1,"He-Man and his allies fight to protect and improve their world, combating the evils posed by Skeletor and his forces.",0,The world of Eternia is neither dystopian nor post-apocalyptic; it combines elements of high fantasy and science fiction.,0.5,"There are elements of inequality due to the ruling classes and the common people, but it's not a primary focus of the setting.",0.5,"Some episodes feature human suffering due to the actions of antagonists, but it's not omnipresent.",0.5,"Eternia does have its military elements, mainly portrayed through the Heroic Warriors, but it is not primarily a militarized society.",0.5,The conflict includes human-like characters dealing with magical and unknown elements from Skeletor and his minions.,0,The conflict is more centered around individual battles rather than society-wide issues.,0.5,The conflict includes human-like characters dealing with magical and unknown elements from Skeletor and his minions.,0,The story doesn't focus on internal personal conflicts of the characters.,0.5,"While there are themes of good versus evil, courage, and heroism, the show does not explicitly comment on modern social issues."
2184,Thundercats (1985–1989),1,1985–1989,1985,1980,animated/kids/comedy,multiple/other,multiple/other,The show arguably spans 'multiple/other' eras as it involves travel from the past (Thundera) to what may be a futuristic Third Earth.,0.5,"There are threats to the Thundercats and their allies, but not necessarily to all of humanity.",1,"By the end of many episodes, the Thundercats often manage to make the world safer and more stable.",0.5,The world has dystopian elements with constant threats but is not fully post-apocalyptic.,0,Inequality is visible more through conflicts between species rather than systemic societal inequality.,1,"The setting involves frequent battles and conflicts, indicating considerable suffering.",0,"The society does not appear overly militarized, but the Thundercats are warriors.",1,The Thundercats face numerous unknown threats on Third Earth.,0,"The primary conflicts are not with a societal structure, but with specific villains and threats.",1,The Thundercats face numerous unknown threats on Third Earth.,0,There is limited focus on internal personal struggle in the series.,0.5,"While direct commentary on social issues is not a primary focus, some themes of good vs. evil and teamwork can be seen as reflective."
2185,The Real Ghostbusters (1986–1991),1,1986–1991,1986,1980,animated/kids/comedy,present,present,The show is set in the present time relative to its original air date (1986-1991).,0.5,"While some episodes feature significant threats, they do not consistently represent an existential threat to all humanity.",1,The Ghostbusters aim to improve the world by catching ghosts and protecting people from supernatural threats.,0,The show is not set in a dystopian or post-apocalyptic world.,0,There is no notable amount of inequality emphasized at the beginning of the story.,0,There is no notable amount of human suffering emphasized at the beginning of the story.,0,The setting does not feature a militarized society; it focuses on supernatural threats.,1,The primary conflict is humans (the Ghostbusters) versus the unknown (supernatural entities).,0,The show does not focus on human vs. society conflicts.,1,The primary conflict is humans (the Ghostbusters) versus the unknown (supernatural entities).,0,The show does not primarily focus on human vs. self conflicts.,0.5,"While the show occasionally touches on social issues, its primary focus is on supernatural adventures."
2186,She-Ra: Princess of Power (1985–1987),1,1985–1987,1985,1980,animated/kids/comedy,multiple/other,multiple/other,The series is set in a fictional universe with a mix of futuristic and fantastical elements.,0.5,The threat is to the magical realm and inhabitants rather than an existential threat to humanity specifically.,1,The characters strive to make the world better by resisting the Evil Horde and restoring peace.,0.5,The world has dystopian elements due to the Evil Horde's control but is not entirely a dystopian or post-apocalyptic setting.,1,The setting at the beginning shows significant inequality under the Evil Horde's control.,1,Human suffering is notable due to the oppression by the Evil Horde.,1,"The society is militarized, as indicated by the presence of the Evil Horde and their army.",1,The story involves a conflict between humans (the protagonists) and unknown forces (the Evil Horde).,1,The story involves a conflict between individuals and the oppressive society created by the Evil Horde.,1,The story involves a conflict between humans (the protagonists) and unknown forces (the Evil Horde).,0,The primary conflicts are external rather than internal struggles within a single character.,0.5,"The series touches on themes of freedom and resistance against tyranny, which can be seen as commentary on social issues."
2193,X-Men: The Animated Series (1992–1997),1,1992–1997,1992,1990,Marvel/DC/other comic universe,present,present,"The series is mostly set in the present day, although it includes elements of different timelines and future scenarios.",1,"There are multiple existential threats to humanity, including powerful mutants, sentinel robots, and other major adversaries.",0.5,"While the X-Men frequently resolve immediate threats and improve situations, the overarching struggles and conflicts often persist.",0,"The setting is not a traditional dystopian or post-apocalyptic world, although it features significant social conflict and threats.",1,"There is a notable amount of inequality, especially regarding the treatment of mutants versus humans.",1,"Human suffering is a significant theme in the series, with characters often facing persecution, war, and personal loss.",0.5,"While society is not entirely militarized, there are significant military and paramilitary elements, such as the Sentinels and various security forces.",0.5,"The series involves multiple conflicts, including those against unknown threats, but not exclusively 'human vs. the unknown.'",1,"The series heavily focuses on the conflict between mutants and society, including issues of acceptance and persecution.",0.5,"The series involves multiple conflicts, including those against unknown threats, but not exclusively 'human vs. the unknown.'",1,"Characters often deal with personal conflicts and struggles, such as Wolverine's internal battles and Rogue's issues with her powers.",1,"The series serves as a commentary on social issues such as racism, discrimination, and the fight for equality."
2194,Pokémon (1997–2023),1,1997–2023,1997,1990,animated/kids/comedy,present,present,The show is set in a world similar to the present day but with Pokémon integrated into society.,0.5,"Some story arcs involve significant threats, but they are not consistently existential for humanity as a whole.",1,"The characters often make the world better by resolving conflicts, defeating villains, and helping others.",0,The world in Pokémon is neither dystopian nor post-apocalyptic.,0,Inequality is not a notable theme at the beginning of the story.,0,Human suffering is not a notable theme at the beginning of the story.,0,The society in Pokémon is not militarized.,1,There are conflicts between humans and unknown Pokémon or mysterious forces.,0.5,"Some story arcs involve conflicts with societal norms or organizations, but it's not the main focus.",1,There are conflicts between humans and unknown Pokémon or mysterious forces.,0.5,"There are instances of self-discovery and personal growth, but it’s not the central theme.",0.5,"The show sometimes touches on social issues, such as conservation and friendship, but it is not a primary focus."
2195,Spider-Man: The Animated Series (1994–1998),1,1994–1998,1994,1990,Marvel/DC/other comic universe,present,present,"The series is set in a contemporary, present-day New York City.",0.5,"There are occasional existential threats to humanity, but the series doesn’t focus exclusively on them.",1,"The protagonists, especially Spider-Man, end up making the world better by stopping various villains and threats.",0,The setting is not dystopian or post-apocalyptic; it's a contemporary urban environment with added superhuman elements.,0,The setting does not notably emphasize inequality at the beginning of the story.,0,"While there is crime and danger, the show does not forefront human suffering as a notable aspect of the setting.",0,The society depicted is not militarized; it is set in a regular city environment with law enforcement.,0.5,"The show involves conflicts with unknown elements like supervillains, but it mainly focuses on human versus human conflicts.",1,"Spider-Man often deals with societal issues such as crime and corruption, reflecting human vs. society conflicts.",0.5,"The show involves conflicts with unknown elements like supervillains, but it mainly focuses on human versus human conflicts.",1,"Peter Parker also struggles with his personal emotions, identity, and duties, showcasing a human vs. self conflict.",0.5,"While the show occasionally touches on social issues like crime and responsibility, it is not primarily a social commentary."
2196,Batman Beyond (1999–2001),1,1999–2001,1999,1990,Marvel/DC/other comic universe,future,future,The show is set in a futuristic version of Gotham City.,0.5,"There are significant threats to the city, and in some cases, these threats could have widespread consequences, but they are not strictly existential threats to all of humanity.",1,The protagonists aim to make the world better by combating crime and corruption in the city.,1,The story is set in a dystopian future world with significant societal issues.,1,The setting at the beginning of the story shows clear inequality in the futuristic society of Gotham City.,1,There is a notable amount of human suffering depicted in the dystopian elements of the society shown at the start of the story.,0.5,"While there is a significant presence of advanced security and law enforcement, it is not entirely militarized but has heavy surveillance and control.",1,"The story involves conflicts between humans and unknown threats, often in the form of new villains and technologies.",1,"The story involves conflicts between humans and societal structures, such as corporate corruption and crime syndicates.",1,"The story involves conflicts between humans and unknown threats, often in the form of new villains and technologies.",0.5,"There are elements of human vs. self conflict, particularly in the personal struggles of Terry McGinnis as he takes on the mantle of Batman, but it is not the main focus.",1,"The story includes commentaries on social issues such as inequality, corruption, and the impact of technology on society."
2197,Mighty Morphin Power Rangers (1993–1996),1,1993–1996,1993,1990,animated/kids/comedy,present,present,"The TV show is set in the present time, during the 1990s.",0.5,"There are some episodes where the threat could be considered existential, but not all threats in the series reach this level.",1,The characters actively make the world better by defeating villains and protecting the Earth.,0,"The series is set in a contemporary world with fantastical elements, not in a dystopian or post-apocalyptic setting.",0.5,"While the show is set in a relatively typical society, certain inequalities are occasionally referenced through different characters and scenarios.",0.5,"Some episodes involve human suffering due to villainous actions, but it is not a major focus at the beginning.",0,The society in the show is not militarized; it is more centered around everyday life with the Rangers acting as protectors.,1,"The show features threats that are often unknown or alien to the characters, leading to a human vs. the unknown conflict.",0,The primary conflicts in the show are more about defending the world from external threats rather than a human vs. society conflict.,1,"The show features threats that are often unknown or alien to the characters, leading to a human vs. the unknown conflict.",0.5,"There are occasional elements of human vs. self conflict as characters grapple with personal issues, but it is not a primary focus.",0.5,"While the show touches on some social issues, it is primarily an action-adventure series aimed at children and does not delve deeply into social commentary."
2198,Digimon: Digital Monsters (1999–2007),1,1999–2007,1999,1990,animated/kids/comedy,multiple/other,multiple/other,"The story shifts between the present day and the digital world, which is a virtual reality.",1,"There are threats that could have significant impacts on the real world, although they are often contained within the Digital World.",1,The characters make the world better by resolving digital threats and restoring peace.,0,The setting is not a dystopian or post-apocalyptic world; it is a mix of the real world and a virtual digital world.,0,The setting does not notably highlight inequality at the beginning.,0,The real world setting at the beginning does not depict notable human suffering.,0,The society depicted in the beginning is not militarized.,1,The story often involves conflicts with unknown digital creatures and phenomena.,0.5,"There are instances of human vs. society conflict, though they are not central to the overall narrative.",1,The story often involves conflicts with unknown digital creatures and phenomena.,0.5,"Some characters face internal struggles, although it is not the primary focus of the series.",0.5,"While the series includes themes like teamwork and the impact of technology, it is not primarily a commentary on social issues."
2199,Invader ZIM (2001–2006),1,2001–2006,2001,2000,animated/kids/comedy,present,present,"The show is set in a contemporary time period, reflecting the early 2000s.",1,There is an existential threat to humanity posed by ZIM's goal to conquer Earth.,0.5,"The characters' actions generally keep the world the same, with some episodes showing brief improvements or worsening conditions that revert by the end.",0.5,"While not a typical dystopian or post-apocalyptic world, the show does depict a bizarre and dysfunctional society that can be seen as dystopian in nature.",0.5,"There are elements of inequality shown, such as the differences between the characters' socioeconomic statuses.",0.5,"The show depicts various instances of human suffering, often in a humorous or exaggerated way.",0,The society in Invader ZIM is not notably militarized at the beginning of the story.,1,The story involves conflicts between Dib (a human) and the unknown alien threat posed by ZIM.,0.5,"There are elements of human vs. society conflict, such as Dib's battles against societal ignorance regarding ZIM.",1,The story involves conflicts between Dib (a human) and the unknown alien threat posed by ZIM.,0.5,"While not a major theme, there are instances where characters struggle with internal issues, such as Dib's obsession with proving ZIM is an alien.",0.5,"The show includes satirical commentary on social issues, such as the absurdity of bureaucracy and societal ignorance, but it is primarily focused on comedy and science fiction."
2200,The Mask (1995–1997),1,1995–1997,1995,1990,animated/kids/comedy,present,present,The story is set in the present era of the 1990s.,0,"There is no existential threat to humanity in the story, only localized chaos caused by the mask.",1,"By the end, the characters make the world a better place by dealing with the chaos caused by the mask and resolving personal conflicts.",0,The story is not set in a dystopian or post-apocalyptic world; it is set in a normal urban environment with fantastical elements.,0,There is no notable amount of inequality presented at the beginning of the story.,0,There is no notable amount of human suffering presented at the beginning of the story.,0,The society depicted at the beginning of the story is not militarized.,0,The story does not involve a human vs. the unknown conflict; the conflict is more comedy and character-driven around the mask's powers.,0,There is no significant human vs. society conflict in the story.,0,The story does not involve a human vs. the unknown conflict; the conflict is more comedy and character-driven around the mask's powers.,0.5,"There is an element of human vs. self conflict, particularly with Stanley Ipkiss dealing with his own confidence issues when using the mask.",0.5,The story touches lightly on social issues like self-esteem and identity but is primarily a comedic adventure.
2201,Captain Planet and the Planeteers (1990–1996),1,1990–1996,1990,1990,animated/kids/comedy,present,present,The series is set in the contemporary (1990s) world.,1,Environmental issues such as pollution and deforestation are treated as existential threats to humanity.,1,The characters work to make the world a better place by resolving environmental crises.,0,"The show is not set in a dystopian or post-apocalyptic world, but rather seeks to prevent such scenarios.",0.5,"There are occasional references to inequality, particularly in terms of environmental justice.",1,The setting often includes human suffering due to environmental issues.,0,The setting does not typically involve a militarized society.,1,The story involves conflict with unknown environmental threats.,1,"The story involves a human vs. society conflict, particularly concerning environmental exploitation and responsibility.",1,The story involves conflict with unknown environmental threats.,0,The story does not typically involve a human vs. self conflict.,1,The story is a strong commentary on social issues relating to environmentalism.
2219,Shazam! (1974–1977),1,1974–1977,1974,1970,Marvel/DC/other comic universe,present,present,The show takes place in the present (1970s) era.,0,There is no existential threat to humanity in the story. The plot revolves around moral lessons and personal growth.,1,The characters in the show aim to make the world a better place by teaching moral lessons and helping those in need.,0,The story is not set in a dystopian or post-apocalyptic world; it is set in a contemporary 1970s setting.,0,The setting does not have a notable amount of inequality; it is a representation of typical American society in the 1970s.,0.5,"While the show does depict some human suffering in individual stories, it is not a central focus.",0,The society in the show is not militarized.,0,The story does not involve a human vs. the unknown conflict.,0.5,"There are elements of human vs. society conflict as the protagonists address social issues, but it is not the central theme.",0,The story does not involve a human vs. the unknown conflict.,0.5,There are elements of human vs. self conflict as characters deal with personal growth and making moral choices.,1,"The story often comments on social issues of the day, such as honesty, integrity, and other moral values."
2220,The Powerpuff Girls (1998–2004),1,1998–2004,1998,1990,animated/kids/comedy,present,present,The show takes place in a contemporary setting that reflects the present time relative to when the show was produced (late 1990s to early 2000s).,0.5,"While the threats are serious, they do not typically pose an existential threat to all of humanity but can be perceived as significant threats to the city of Townsville.",1,The Powerpuff Girls make the world better by regularly saving Townsville from various threats.,0,The setting of The Powerpuff Girls is not dystopian or post-apocalyptic; it is a typical modern-day city.,0,The setting does not emphasize a notable amount of inequality at the beginning of the story.,0,The setting does not have a notable amount of human suffering at the beginning of the story.,0,"The society in The Powerpuff Girls is not militarized; instead, it relies on the Powerpuff Girls for protection.",1,"The Powerpuff Girls face many unknown threats, making it a human (or superhuman) vs. the unknown conflict.",0.5,"There are occasional storylines that involve societal issues, but they are not the primary focus.",1,"The Powerpuff Girls face many unknown threats, making it a human (or superhuman) vs. the unknown conflict.",0.5,"There are episodes that explore internal conflicts within the characters, but these are not the primary focus.",0.5,"While the show touches on some social issues, it is more focused on action and comedy."
2228,V (1983),1,1983,1983,1980,other,present,present,The film/tv show is set in the present era relative to its 1983 release date.,1,There is an existential threat to humanity from the alien Visitors.,1,The characters in the show work to make the world better by resisting the alien occupation and attempting to restore freedom.,0.5,The story has dystopian elements but is not post-apocalyptic; it depicts a world under alien occupation.,0,"There is no notable amount of inequality at the beginning of the story, as the main conflict arises from the arrival of the aliens.",0.5,"There is some human suffering at the beginning of the story, but it increases significantly with the arrival of the alien Visitors.",0,The society is not militarized at the beginning of the story; this changes as the resistance movement grows.,1,"The story involves a human vs. the unknown conflict, as humans confront the alien Visitors with hidden agendas.",1,"The story involves a human vs. society conflict, as humans form a resistance against the societal changes imposed by the aliens.",1,"The story involves a human vs. the unknown conflict, as humans confront the alien Visitors with hidden agendas.",0,The story does not focus on a human vs. self conflict; it largely revolves around external threats.,1,"The story is a commentary on social issues of today, such as authoritarianism, resistance, and collaboration."
2230,Man from Atlantis (1977–1978),1,1977–1978,1977,1970,other,present,present,The film/tv show is set in the era that was present at the time of filming (late 1970s).,0.5,"There are some threats that could be seen as existential, but they are not always the central focus.",1,Characters often work towards making the world better by addressing the threats.,0,The series is not set in a dystopian or post-apocalyptic world.,0,The setting does not emphasize a notable amount of inequality.,0,The setting does not emphasize a notable amount of human suffering.,0,The society depicted is not particularly militarized.,1,"The protagonist often deals with conflicts involving the unknown, given his unique origin and abilities.",0,Human vs. society conflict is not a central theme in the series.,1,"The protagonist often deals with conflicts involving the unknown, given his unique origin and abilities.",0.5,There are some elements of human vs. self conflict as the protagonist struggles with his identity.,0,The series is more focused on adventure and science fiction rather than commentary on social issues.
2231,The Adventures of the Electronic (1979–1980),1,1979–1980,1979,1970,animated/kids/comedy,present,present,The film/tv show takes place in the present time relative to when it was created.,0,There is no existential threat to humanity in the story.,1,The characters in the film/tv show make the world better through their adventures and problem-solving.,0,The story is not set in a dystopian or post-apocalyptic world.,0,The setting at the beginning of the story does not have a notable amount of inequality.,0,The setting at the beginning of the story does not have a notable amount of human suffering.,0,The setting at the beginning of the story is not a militarized society.,0,The story does not involve a human vs. the unknown conflict.,0.5,The story somewhat involves a human vs. society conflict as the robot boy tries to integrate into human society.,0,The story does not involve a human vs. the unknown conflict.,0.5,There is somewhat of a human vs. self conflict as characters deal with their own personal growth and acceptance.,0.5,"The story somewhat provides a commentary on social issues like acceptance and integration of the different, but it's not the main focus."
2232,Legacy from the Future - Fantastic Adventures of Family Mézga (1970–1973),1,1970–1973,1970,1970,animated/kids/comedy,multiple/other,multiple/other,The story involves both present-day settings and elements from the future due to the family’s interactions with future technology.,0,There is no existential threat to humanity in the story; the focus is more on the comedic and adventurous aspects of the family’s encounters.,0.5,"The family often returns to a semblance of normalcy after their adventures, implying the world is mostly the same but sometimes better due to their learning experiences.",0,The story is not set in a dystopian or post-apocalyptic world; it occurs in a normal setting enhanced by futuristic elements.,0,The story does not specifically highlight inequality in the setting.,0,The story does not emphasize human suffering; it focuses on humor and adventure.,0,The setting at the beginning of the story does not feature a militarized society.,0.5,"While there are elements of the unknown in the future technology, the primary conflict is not directly human vs. the unknown but rather the humorous situations that arise.",0,The story does not involve a human vs. society conflict.,0.5,"While there are elements of the unknown in the future technology, the primary conflict is not directly human vs. the unknown but rather the humorous situations that arise.",0.5,"There are occasional aspects of self-discovery and personal growth within the adventures, indicating some elements of human vs. self conflict.",0.5,"There are light commentaries on societal expectations and family life, but it's not a central theme of the story."
2233,Star Blazers (1979–1984),1,1979–1984,1979,1970,animated/kids/comedy,future,future,The film/tv show is set in a future era.,1,"There is an existential threat to humanity in the story, such as the threat posed by the Gamilas Empire.",1,"The characters' actions lead to a better situation by the end of the series, such as saving Earth from destruction.",1,The story is set in a post-apocalyptic world where Earth has been devastated by alien attacks.,1,"The setting at the beginning of the story has notable inequality, as Earth is under threat and societal structures are strained.",1,There is a notable amount of human suffering at the start of the story due to the devastating war and environmental conditions.,1,"The society in the story is highly militarized, with a significant focus on defense against alien threats.",1,"The story involves a human vs. the unknown conflict, as the protagonists confront mysterious alien forces.",0.5,"While there is some societal conflict, it is not the primary focus of the story.",1,"The story involves a human vs. the unknown conflict, as the protagonists confront mysterious alien forces.",0.5,"There are elements of human vs. self conflict as characters struggle with their fears and responsibilities, but it is not the main focus.",0.5,The story includes some commentary on social issues such as war and environmental decay but is not its primary purpose.
2234,Captain Future (1978–1979),1,1978–1979,1978,1970,animated/kids/comedy,future,future,The film takes place in the future.,1,There are story arcs that involve existential threats to humanity.,1,The characters generally make the world better by resolving the threats and conflicts they encounter.,0,The world in 'Captain Future' is not typically depicted as dystopian or post-apocalyptic.,1,There is a notable amount of inequality due to differences in technological access and power.,0.5,"There is some human suffering depicted, typically due to conflicts and threats encountered in space.",1,The setting includes militarized societies as various factions and planets maintain their own military forces.,1,The story often involves conflicts between humans and unknown or alien threats.,1,There are storylines where the protagonist combats societal issues and structures.,1,The story often involves conflicts between humans and unknown or alien threats.,0.5,"While the focus is often on external conflicts, there are episodes that include characters dealing with internal struggles.",0,The primary focus of 'Captain Future' is adventure and exploration rather than commentary on contemporary social issues.
2235,Doraemon (1973),1,1973,1973,1970,animated/kids/comedy,multiple/other,multiple/other,"The show takes place primarily in the present, but with interactions involving a future robot (Doraemon).",0,There is no existential threat to humanity in the story; it focuses on personal and everyday challenges.,1,The characters usually make their world better by resolving their problems with the help of Doraemon's gadgets.,0,"The story is not set in a dystopian or post-apocalyptic world; it is set in a normal, everyday world with some futuristic elements.",0,There is no notable amount of inequality presented in the setting at the beginning of the story.,0,There is no notable amount of human suffering presented in the setting at the beginning of the story.,0,The setting does not feature a militarized society.,0,The story does not revolve around a conflict involving humans vs. the unknown.,0,The story does not involve a human vs. society conflict.,0,The story does not revolve around a conflict involving humans vs. the unknown.,0,The primary conflicts are not centered on individuals struggling with themselves.,0,The story does not serve as a commentary on social issues of today; it is more focused on entertaining and moral lessons.
2236,Mazinger Z (1972–1974),1,1972–1974,1972,1970,animated/kids/comedy,present,present,"The show takes place in a present-day setting, though it includes advanced technology.",1,The mechanical monsters and the schemes of Dr. Hell are portrayed as existential threats to humanity.,1,The characters strive to make the world better by defeating the threats posed by Dr. Hell and his creations.,0,The story is set in a present day world experiencing conflict due to Dr. Hell's actions but it is not a dystopian or post-apocalyptic world.,0,The setting at the beginning of the story does not have a notable amount of inequality.,0,There is no notable amount of human suffering at the beginning of the story; it starts in a relatively peaceful setting.,0,The society at the beginning of the story is not militarized; the need for combat arises due to Dr. Hell's threats.,1,The story involves a human vs. the unknown conflict with the mechanical monsters.,0.5,There are elements of human vs. society conflict in terms of the impact Dr. Hell's actions have on society.,1,The story involves a human vs. the unknown conflict with the mechanical monsters.,0.5,"There are some elements of human vs. self conflict, as characters such as Kouji deal with personal growth and responsibility.",0.5,"While primarily an action and adventure show, there are minor critiques of reliance on technology and power structures."
2237,Survivors (1975–1977),1,1975–1977,1975,1970,other,present,present,"The show takes place in the present, as it deals with contemporary society but in a post-apocalyptic context.",1,"There is an existential threat to humanity in the story, as the global pandemic threatens human survival.",0.5,"The characters in the film/tv show aim to make the world better, though it remains challenging and uncertain.",1,The story is set in a post-apocalyptic world following a global pandemic.,0,The setting at the beginning of the story does not emphasize a notable amount of inequality; the focus is on the impact of the pandemic.,1,The setting at the beginning of the story has a notable amount of human suffering due to the pandemic.,0,The setting at the beginning of the story does not have a militarized society; it is more about chaos and survival.,1,"The story involves a human vs. the unknown conflict, as people struggle to understand and survive the pandemic.",1,"The story includes a human vs. society conflict, as characters deal with the breakdown of social order.",1,"The story involves a human vs. the unknown conflict, as people struggle to understand and survive the pandemic.",0.5,There are elements of human vs. self conflict as individuals face internal struggles in addition to external threats.,1,"The story is a commentary on social issues of today, including the fragility of society, survival, and the human response to disaster."
